ui.menu|Menü
057|Android · uygulama kapalı
058|Ana ekranda hızlı düğme
059|Telefonun ana ekranındaki bir düğme, uygulama kapalı ve uykudayken bile onu uyandırır ve acil durumu hemen başlatır.
060|Android · fark edilmeden
061|Kalıcı bildirim
062|Her zaman görünen bildirime bir dokunuş. Sizi izleyen kişi yalnızca bildirimlere göz gezdirdiğinizi düşünür: aslında yardım istiyorsunuzdur.
064|Akıllı saat
065|Wear OS akıllı saatin kadranında ses veya düğme ya da Apple Watch’ta bir dokunuş. Akıllı telefon uygulamalarının saat için yardımcı uygulaması vardır; AIuto SOS ise akıllı telefon olmadan da çalışır.
066|button4help™ düğmesi
067|Yanınızda taşıdığınız küçük düğmeyi birkaç saniye basılı tutun: birkaç metre uzaktaki akıllı telefondaki uygulama acil durumu başlatır. <a class="link-arrow" href="button4help.html">Keşfedin →</a>
068|Ne olur
069|Her şey kendiliğinden, güvendiğiniz iki kişiye gider.
070|Uygulamada yakınlarınızdan veya arkadaşlarınızdan iki acil durum kişisi belirlersiniz. Alarm devreye girer girmez yardım talebinizi ve konumunuzu alırlar.
072|Konumlu SMS
073|GPS koordinatları, adres ve harita bağlantısı. İnternet gerekmeden telefon şebekesi üzerinden gider.
075|Konumlu WhatsApp
076|iPhone’da konumlu mesaj WhatsApp üzerinden de gönderilir.
077|24 saate kadar canlı
078|Canlı konumlu Telegram
079|Konum gerçek zamanlı güncellenir, böylece kişileriniz sizi takip edebilir. Süre uygulamaya ve sürüme bağlıdır.
080|Telefon araması
081|Uygulama, sizin numara çevirmenize gerek kalmadan acil durum kişilerinizi arar.
082|Siz
083|ses, dokunuş veya düğme
084|no pAIn™ uygulaması
085|konum + mesajlar
086|2 güvenilir kişi
087|SMS · WhatsApp · Telegram · arama
088|Somut yardım
089|polisi ararlar ya da yanınıza gelirler
090|<b>Önemli</b> Uygulamalar seçtiğiniz kişileri uyarır: 112’yi doğrudan aramaz ve onun yerini tutmaz. Alarm geldiğinde ne yapacaklarını kişilerinizle önceden konuşun ve birlikte bir deneme yapın.
091|Projenin tanıtım materyali. İllüstrasyonlardaki takılar tasarım konseptidir.
092|Ekosistem
093|Cihazınız. no pAIn™ uygulamanız.
094|Android akıllı telefonlar, iPhone, akıllı saatler ve cepte taşınacak bir düğme. Diller, bağlantılar ve işlevler uygulamadan uygulamaya değişir: size uygun çözümü seçin.
095|ANDROID · 12 DİL
097|Android için çok dilli sürüm, button4help™ ile uyumlu.
098|Keşfedin →
099|ANDROID · İTALYANCA
100|Proteggimi (no pAIn™)
101|İtalyanca Android için no pAIn™ uygulaması.
102|IPHONE · 12 DİL
103|no pAIn™ (Proteggimi)
104|iPhone ve Apple Watch sürümü.
105|WEAR OS · YALNIZCA AKILLI SAAT
107|Akıllı telefon olmadan, yalnızca saatte çalışır.
108|BLUETOOTH CİHAZI
109|Alarmı uzaktan başlatan düğme. Harici bir satıcıdan satın alınır.
110|Free ve Premium sürümlerini karşılaştırın →
111|Başlarken
112|Nasıl etkinleştireceğinizi seçin. Kimi uyaracağınıza karar verin.
113|Ağınızı hazırlayın
114|Cihazınıza uygun uygulamayı seçin, kişileri ayarlayın ve kullanmak istediğiniz eylemleri etkinleştirin. Düğmeyi kullanıyorsanız eşleştirmeyi tamamlayın.
115|Kullanımdan önce
116|Talebi başlatın
117|Uygulamanızın sunduğu yöntemi kullanın: sesli komut, ekrana dokunma, uyumlu akıllı saat veya eşleştirilmiş fiziksel düğme.
118|Gerektiğinde
119|Seçtiğiniz kişileri uyarın
120|Etkinleştirilen eylemler başlar: konumlu mesajlar, Telegram ile canlı konum paylaşımı ve ayarlı kişilere aramalar.
121|Kişilerinize
122|Nasıl çalıştığına dair tüm ayrıntılar →
123|Teknoloji ve araştırma
124|Üniversitede doğdu, bilimsel bir dergide yayımlandı.
125|no pAIn™, <em>never oppressed protected by Artificial Intelligence Non violence system</em> anlamına gelir. Proje, <em>Electronics</em> dergisindeki iki makalede (2024 ve 2026) ve 23 sayfalık kapsamlı bir sunumda anlatılmaktadır.
126|Teknoloji ve yayınlar →
127|Birlikte çalışalım
128|no pAIn™ projesini kuruluşunuza getirin.
129|Kamu kurumları, dernekler, şirketler ve sponsorlar: aracı tanıtmak ve bir destek ağına yerleştirmek, onu kullanıma sunmak kadar önemlidir.
130|Kurum ve şirketlere yönelik öneriler →
131|Fiyatlar, bulunabilirlik ve iş birlikleri
132|Size uygun çözümü birlikte bulalım.
133|Prof. Müh. Agostino Giorgio
134|Elektrik ve Bilişim Mühendisliği Bölümü
136|Ofis tel.: 080 596 3239/579
137|Bireyler için bilgi
138|Uygulamalar, button4help™ ve telefonunuzla uyumluluk
139|Kurum ve şirketlere yönelik öneriler
140|Tanıtımlar ve iş birlikleri
141|E-posta uygulamanız açılacak. Doğrudan şu adrese de yazabilirsiniz: <a href="mailto:agostino.giorgio@poliba.it">agostino.giorgio@poliba.it</a>
142|Prof. Müh. Agostino Giorgio’nun projesi<br>Politecnico di Bari öğretim üyesi
143|Site
144|Kaynaklar
145|Uygulama kılavuzları ve gizlilik ↗
146|Proje sunumu (PDF, İtalyanca) ↗
148|Acil bir tehlikede 112’yi arayın. no pAIn™ uygulamaları seçtiğiniz acil durum kişilerini uyarır ve kamu acil durum hizmetlerinin yerini tutmaz.
149|Bilgi edinin. Ayarlayın. Deneyin.
150|Ana gezinme
151|Bir kişinin aldığı, haritalı ve canlı konumlu acil durum mesajı örneği
152|Yardım talebinin izlediği yol
153|no pAIn projesinin afişi: digital4help, dijital koruma. İtalyanca Android için Proteggimi, 12 dilde Android için AI help You, Wear OS akıllı saatler için AIuto SOS watch4help ve iOS için no pAIn listelenir.
154|no pAIn™ — Uygulamalar
155|no pAIn™ projesinin uygulamaları: AI help You, Proteggimi, iPhone için no pAIn™, Wear OS için AIuto SOS watch4help™, AI help App.
156|Uygulamanızı seçin
157|Sesinizi <span class="hl">nasıl duyuracağınızı seçin.</span>
158|no pAIn™, akıllı telefona sesle veya dokunarak etkinleşen elektronik bir “signal for help” getirir. watch4help™ akıllı saatler için aynı teknolojidir. Diller, bağlantılar ve işlevler uygulamadan uygulamaya değişir.
163|AI help App · AIutoSOS Apple Watch
165|Projenin tanıtım materyali · temsili konsept
167|12 dil
170|12 dilde Android sürümü; özelleştirilebilir anahtar kelimeler, çevrimdışı ses tanıma ve Wear OS akıllı saatler için yardımcı uygulama içerir. button4help™ düğmesi dahil no pAIn™ teknolojisinin tüm tetikleyicilerini sunar.
171|Telegram’da canlı konum
172|1 dakikadan 24 saate kadar, ayarlanabilir
173|Google Play’den indirin <span class="arr">↗</span>
174|Sesli komutlar: 4 sabit ve 3 kişisel anahtar kelime, ekran kapalıyken ve telefon birkaç metre uzaktayken bile
175|Google Asistan ile etkinleştirme
176|Ana ekranda acil durum düğmesi
177|Ana ekranda, kapalı uygulamayı uyandıran hızlı düğme
178|Wear OS akıllı saatler için yardımcı uygulamadan ses veya düğme
179|button4help™ düğmesine birkaç saniye basma
180|Neler gönderir
181|GPS koordinatları, adres ve harita bağlantısı içeren SMS
182|Kişilere otomatik arama
183|Android’de WhatsApp yok
184|AI help You ayarlanan kişileri uyarır. Kamu acil durum hizmetleriyle iletişime geçmez ve onların yerini tutmaz. Abonelik olmadan hızlı acil durum modunda çalışır: <a class="link-arrow" href="versioni.html">Free ve Premium’a bakın</a>.
185|İtalyanca
186|Proteggimi <span class="hl">(no pAIn™)</span>
187|İtalyanca Android sürümü; sesle veya elle etkinleştirilir. Uygulama kapalı ve ekran kapalıyken bile anahtar kelimelerinizi dinler ve Wear OS akıllı saatler için yardımcı uygulaması vardır.
188|30 dakikaya kadar
189|Özel anahtar kelimelerle sesli komutlar, çevrimdışı ses tanıma
190|Konum bilgili SMS
191|Konumlu Telegram, canlı konum dahil
194|no pAIn™ <span class="hl">(Proteggimi)</span>
195|AI help You ile aynı temel işlevlere sahip iPhone sürümü: 12 dil, Apple Watch için yardımcı uygulama ve button4help™ uyumluluğu. Ayrıca alarmı WhatsApp üzerinden de gönderir.
196|Free: 30 dakika · Premium: 1 dakikadan 24 saate kadar
197|App Store’dan indirin <span class="arr">↗</span>
198|Apple Watch’taki yardımcı uygulama: EMERGENZA’ya tek dokunuş
199|Ana ekranda SOS düğmesi
200|“Hey Siri, Bana yardım et” sesli komutu (Premium)
201|iPhone kilitliyken bile Apple Watch kadranına dokunma
202|Konum ve harita bağlantılı Telegram
203|Konum bilgili SMS (Premium)
204|Konum bilgili WhatsApp (Premium)
205|Kişilere otomatik arama (Premium)
206|İndirme ücretsizdir ve SOS düğmesi, konumlu Telegram, 30 dakikalık canlı konum ile Apple Watch uygulamasını içerir. Premium; Siri, SMS, WhatsApp, arama ve 1 dakikadan 24 saate kadar canlı konum ekler; tek seferlik satın alma, abonelik yok.
207|SMS, WhatsApp ve arama, uygulamadan yüklenen “Proteggimi” Apple Kestirmesi üzerinden çalışır. Apple Watch’tan Telegram ve konum, iPhone kilitliyken bile gönderilir; diğer eylemler için iPhone uygulamasının ön planda olması gerekir.
209|Akıllı telefonsuz
211|Akıllı telefona ihtiyaç duymayan, yalnızca Wear OS akıllı saatler için bir uygulama. watch4help™ adı verilen giyilebilir no pAIn™ teknolojisidir: alarm doğrudan kolunuzdan başlar.
212|60 dakikaya kadar
213|Saatte sesli komut
214|Kadranda acil durum düğmesi
215|Kadrandan ve komplikasyonlardan hızlı erişim
216|Bilmeniz gerekenler
217|Akıllı telefon uzakta veya kapalıyken bile bağımsız çalışır
218|Kullanılabilen kanallar saatin bağlantısına bağlıdır: SIM’li LTE veya Wi-Fi/Bluetooth
219|Eşleştirilmiş telefonla birlikte çalışan Proteggimi ve AI help You yardımcı uygulamalarıyla karıştırılmamalıdır.
220|Görsellerle ve videolarla
221|Kolda nasıl göründüğü ve nasıl çalıştığı.
222|Büyük kırmızı düğmeye bir dokunuş veya bir sesli komut: saat, akıllı telefon uzakta olsa bile konumu ve uyarıyı Telegram, SMS ve arama ile kişilerinize gönderir.
223|Büyütmek için bir görsele dokunun. Diğerlerini görmek için yana kaydırın.
224|Afiş
225|<strong>Akıllı saatinizden SOS</strong>Ses veya dokunuş: konum ve uyarı gönderir. Canlı konum, Telegram, SMS, arama.
226|Ekran görüntüsü
227|<strong>Saatteki uygulama</strong>INVIO (gönder) düğmesi ve açılıp duraklatılabilen sesli komut dinleme.
228|Diğer çözümler
229|Bunlar da projenin parçası.
231|Android için başka bir çok dilli çözüm: 12 dil, bunların 3’ünde ses tanıma çevrimdışı da çalışır. Sesli komutlarla veya elle yardım talebiyle etkinleşir.
232|Google Play’i açın <span class="arr">↗</span>
234|Planlanıyor
235|Apple Watch için AIutoSOS
236|Yakında yayımlanacak, Apple Watch’a özel bir uygulama. iPhone için no pAIn™ içinde zaten bulunan yardımcı uygulamadan farklıdır.
237|Apple Watch’ı bugün kullanmak için <a class="link-arrow" href="#no-pain-ios">iPhone için no pAIn™</a> uygulamasını yükleyin.
238|AI help You ve iPhone için no pAIn™ alarmını tetikleyen, cepte taşınan düğme. Ne olduğu, ne olmadığı ve nereden alınacağı.
239|button4help™ ürününü keşfedin →
240|Kurulum
241|Uygulamanızın kılavuzunu izleyin.
242|Canlı konum süresi uygulamadan uygulamaya değişir: yüklü uygulamanın seçeneklerini kontrol edin.
243|Android kılavuzu <span class="arr">↗</span>
244|iOS kılavuzu <span class="arr">↗</span>
245|Telegram rehberi <span class="arr">↗</span>
246|Uygulamalar
247|Afiş: Proteggimi (no pAIn), farklı ve akıllı uygulama. Akıllı telefona dokunmadan bile anında yardım. Android, Wear OS ve iOS sürümlerinin listesi.
248|Büyük kırmızı EMERGENZA düğmesi ve Inviato (gönderildi) onayı olan Apple Watch
249|AIuto SOS watch4help afişi: gece yağmurda kapüşonlu bir adam tarafından takip edilen bir kadın akıllı saatindeki HELP düğmesine basıyor
250|AIuto SOS uygulamalı Wear OS akıllı saat: kırmızı INVIO (gönder) düğmesi ve FERMA ASCOLTO (dinlemeyi durdur) düğmesi
251|button4help™ — no pAIn™
252|button4help™, no pAIn™ uygulamalarının alarmını uzaktan tetikleyen Bluetooth düğmesi. Ne olduğu, ne olmadığı, nereden alınacağı.
253|no pAIn™ fiziksel düğmesi
255|Taşıması kolay, etkinleştirmesi basit. Projenin “sihirli düğmesi”: cebinizde, çantanızda veya anahtarlığınızda taşırsınız; birkaç saniye basılı tuttuğunuzda akıllı telefonunuzdaki uygulama, birkaç metre uzakta olsa bile acil durumu başlatır.
256|AliExpress’ten satın alın <span class="arr">↗</span>
257|Nasıl kullanılır
258|Düğme no pAIn™ tarafından satılmaz: harici bir satıcıdan alınır ve uygulamayla eşleştirilir.
259|50 sentlik bir madeni paranın yanında button4help™ düğmesinin gerçek fotoğrafı
260|Nasıl göründüğü ve nasıl kullanıldığı.
261|Anahtarlığınızda veya cebinizde taşıyın. Gerektiğinde basın: telefondaki uygulama yardım taleplerini ve canlı konumu kişilerinize otomatik olarak gönderir.
262|<strong>Tek basış, alarm başlar</strong>AI help You ile: yardım talepleri ve 24 saate kadar canlı konum. Afiş İngilizcedir.
263|Gerçek fotoğraf
264|<strong>Gerçek boyutu</strong>50 sentlik bir madeni paradan biraz büyük.
265|Nedir
266|Telefonunuz için bir uzaktan kumanda.
267|button4help™, Bluetooth menzili içinde akıllı telefonda işlemleri başlatan bir düğmedir. Yalnızca bir Bluetooth Low Energy modülü ve bir düğme pil içerdiği için minyatürdür: GPS yok, Wi-Fi yok. Konumu telefondaki uygulama belirler.
268|Telefonu elinize almadan fiziksel etkinleştirme
269|Akıllı telefona Bluetooth ile bağlantı
270|Uygulamada ayarlanan eylemlere göre gönderim: mesajlar, konum, aramalar
271|Etkinleştirme
272|Yaklaşık 2 saniye basma
273|Bağlantı
274|Yalnızca Bluetooth BLE
275|Menzil
276|Birkaç metre, Bluetooth menzili
277|Güç
278|Düğme pil
279|Boyut
280|Bir madeni paradan biraz büyük
281|Uyumlu olduğu uygulamalar
282|AI help You (Android) ve no pAIn™ (iPhone)
283|Ne değildir
284|Konum takip cihazı değildir. Yaşlılar için bir düğme değildir.
285|Piyasada Apple’ın AirTag ağına veya Android ağına bağlanan, eşya ve evcil hayvan bulmak için kullanılan GPS veya Bluetooth takip cihazları vardır. button4help™ bambaşka bir şeydir.
286|Cihaz
287|Ne işe yarar
288|GPS veya BLE takip cihazı
289|Eşya ve evcil hayvan bulmak
290|Apple’ın AirTag ağı veya Android ağı üzerinden konumu bulunur
291|Yaşlılar için SOS düğmesi
292|Bir yardım merkezini aramak
293|Özel cihaz, çoğu zaman kendi SIM’i veya istasyonu olan
294|no pAIn™ uygulamasının alarmını tetiklemek
295|Akıllı telefona uzaktan komut: acil durum, kişilerinize mesajlar, konum ve aramalarla başlar
296|Üç adım, sonra hep yanınızda.
297|Satın alın
298|Düğmeyi aşağıda belirtilen satıcıdan alın. Fiyat, gönderim ve bulunabilirlik satıcıya bağlıdır.
299|Uygulamayla eşleştirin
300|AI help You’da veya iPhone için no pAIn™ uygulamasında kılavuzdaki eşleştirme adımlarını izleyin. Ardından kişilerinizle kararlaştırdığınız bir deneme yapın.
301|Basılı tutun
302|Gerektiğinde düğmeye birkaç saniye basın: uygulama ayarladığınız acil durum eylemlerini başlatır.
303|Düğme akıllı telefondaki uygulamayı kontrol eder: telefon açık, Bluetooth menzilinde ve uygulama ayarlı olmalıdır. Telefonsuz çalışan bir cihaza ihtiyacınız varsa <a class="link-arrow" href="prodotti.html#aiuto-sos">Wear OS için AIuto SOS</a> uygulamasına bakın.
304|Nereden alınır
305|button4help™, AliExpress’te üçüncü taraf bir satıcıdan alınır. no pAIn™ cihazı satmaz; sipariş, gönderim veya iadelerle ilgilenmez.
306|Telefonunuzla uyumluluğundan emin değil misiniz? <a class="link-arrow" href="mailto:agostino.giorgio@poliba.it" data-mail="private">Satın almadan önce bize yazın</a>.
307|Takı sürümü şimdiden satışta mı?
308|Bu sayfadaki fotoğraflar mevcut cihazı gösterir. Kalp kolyeli veya başka takılı tanıtım görselleri tasarım olanaklarını gösterir: bulunabilirlik ve özellikler tasarımcıyla teyit edilmelidir.
309|Sık sorulan diğer sorular →
310|button4help’in gerçek fotoğrafı: anahtarlık halkalı, yuvarlak siyah bir düğme; boyutunu karşılaştırmak için 50 euro sentlik bir madeni paranın yanında
311|AI help You ile button4help afişi: gece yağmurda bir adam tarafından takip edilen bir kadın anahtarlığındaki düğmeyi sıkıyor; küçük resimde bir arkadaşı SMS ve Telegram’dan konum alıyor
312|50 euro sentlik bir madeni paranın yanında button4help’in gerçek fotoğrafı
313|no pAIn™ — Free ve Premium
314|Android ve iPhone için no pAIn™ uygulamalarının ücretsiz ve Premium sürümlerinde neler bulunduğu, işlevlerin tam karşılaştırmasıyla.
315|Neyin dahil olduğunu <span class="hl">bilerek seçin.</span>
316|Ücretsiz acil durum işlevleri Android ve iPhone’da farklıdır. Android hızlı düğmeleri ve iOS SOS düğmesi, öngörülen yapılandırmaya göre ücretsiz kullanılmaya devam eder.
317|Hızlı acil durum, ücretsiz de
318|Abonelik olmadan uygulama hızlı acil durum modunu kullanır: etkinleştirme ana ekran düğmelerinden veya kalıcı bildirimden başlar. Avvia/Start düğmesi etkin değildir; ses ve ayar değişiklikleri, etkin bir hızlı acil durum sırasında kullanılabilir.
319|Premium, karşılaştırmada anlatılan tam kullanımı açar. Koşullar ve fiyat her uygulamanın Google Play sayfasında yer alır.
321|SOS ve Apple Watch dahil
322|Dokunarak SOS düğmesi
323|Konum bilgili Telegram
324|30 dakika canlı konum
325|Apple Watch için yardımcı uygulama
326|Ücretsiz indirme. Dahil olan acil durum işlevleri ücretsiz kalır.
327|Tek satın alma, daha fazla işlev
328|12 dilde “Hey Siri, Bana yardım et”
329|Kişilere SMS, WhatsApp ve arama
330|1 dakikadan 24 saate kadar canlı konum
331|Tek seferlik satın alma, abonelik yok. Fiyat App Store’da belirtilir.
332|Tam karşılaştırma
333|Tüm işlevler, Android ve iOS.
334|Proje sunumundan alınan karşılaştırma. Android için uygulama ailesinin bir özetidir: diller, aksesuarlar ve konum süresi için <a class="link-arrow" href="prodotti.html">ilgili uygulamanın sayfasına</a> bakın. Telefonda tabloyu yatay kaydırabilirsiniz.
335|Platforma ve sürüme göre işlevler
336|İşlev
339|Ana sayfada SOS
340|Hayır¹
341|Evet
342|Ana ekran / bildirim hızlı düğmeleri, uygulama kapalıyken bile
343|Hayır
344|Ses: 4 sabit + 3 kişisel anahtar kelime
345|Evet²
346|Google / Siri ile etkinleştirme
347|Desteklenen dillerde çevrimdışı ses tanıma
348|GPS, adres ve harita bağlantılı Telegram
349|WhatsApp mesajı
350|Ayarlı kişiye arama
351|Uygulamaya göre³
352|30 dakika
353|1 dk – 24 saat
354|Wear OS / Apple Watch yardımcı uygulaması
355|Akıllı telefonsuz akıllı saat
356|Özel Wear OS uygulaması
357|Kadrandan ve komplikasyonlardan hızlı erişim
358|Akıllı saatte sesli komutlar
359|Uygulama çalışırken ayarları değiştirme
360|Adım adım yerleşik rehber ve PDF
361|Hesap, oturum açma veya özel bulut yok
362|¹ Abonelik olmadan Avvia/Start düğmesi etkin değildir; hızlı acil durum düğmeleri kullanılır.
363|² Android Free’de yalnızca hızlı acil durum etkinken.
364|³ Sunum, etkin sürümlerde 24 saate kadar süre belirtir: AI help You 1 dakikadan 24 saate, Proteggimi Android 30 dakikaya, AIuto SOS watch4help™ 60 dakikaya kadar. 12 dil çok dilli uygulamalar içindir; Proteggimi Android İtalyancadır.
365|Maliyetler ve işlevlerle ilgili sorular
366|no pAIn™ — Nasıl çalışır
367|no pAIn™ uygulamaları nasıl etkinleştirilir, hangi eylemler başlar, watch4help™ nasıl çalışır ve ilk kurulum nasıl hazırlanır.
368|Nasıl etkinleştireceğinizi seçin. <span class="hl">Kimi uyaracağınıza karar verin.</span>
369|Proje birkaç etkinleştirme yöntemi sunar. Kullanılabilen işlevler uygulamaya, cihaza ve kuruluma bağlıdır.
370|Cihazınıza uygun uygulamayı seçin, iki acil durum kişisini ayarlayın ve kullanmak istediğiniz eylemleri etkinleştirin. Düğmeyi kullanıyorsanız eşleştirmeyi tamamlayın.
371|Etkinleştirme yöntemleri
372|Kullandığınız cihaza göre farklı bir arayüz.
373|Ses
374|Telefona dokunmadan
375|Android’de: cihaz üzerinde tanınan 4 sabit ve 3 kişisel anahtar kelime; arka planda veya ekran kapalıyken, telefon birkaç metre uzaktayken bile. iOS Premium’da: “Hey Siri, Bana yardım et”.
376|Dokunuş
377|SOS düğmesi, ana ekran, bildirim
378|Sürümünüzün sunduğu SOS düğmesini kullanın. Android’de ana ekran hızlı düğmeleri ve kalıcı bildirim, uygulama kapalıyken de çalışır.
379|Kolunuzdan
380|Uyumlu uygulamanın sesini veya düğmesini kullanın. Telefonun yardımcı uygulamasını Wear OS için bağımsız uygulamadan ayırt edin.
381|Cebinizden
382|Telefona bağlı düğmeyi birkaç saniye basılı tutun: uygulama ayarlanan eylemleri yürütür. <a class="link-arrow" href="button4help.html">Keşfedin →</a>
383|Etkinleştirmeden sonra
384|Seçtiğiniz eylemler.
386|Kişilere giden mesajlarda GPS koordinatları, adres ve harita bağlantısı. iOS’ta Premium ve Apple Kestirmesi gerekir.
387|tüm uygulamalar
388|Konum gönderimi ve canlı güncelleme: iOS Free’de 30 dakika, etkin sürümlerde 24 saate kadar ayarlanabilir süre.
389|Aramalar
390|Ayarlanan numaralara aramalar. iOS Premium’da “Proteggimi” Apple Kestirmesi ile başlar.
392|iOS Premium’da Apple Kestirmesi ile kullanılabilir. Android sürümlerinde yoktur.
393|<b>Önemli</b> Uygulamalar ayarlanan kişileri uyarır. Kamu acil durum hizmetleriyle iletişime geçmez ve onların yerini tutmaz: alarmı alan kişileriniz tüm bilgilerle polisi arayabilir ve yardımınıza gelebilir.
394|watch4help™ · Kolunuzda SOS
395|Telefona bağlı ya da bağımsız.
396|Ayırt edilmesi gereken iki mod
397|Proteggimi ve AI help You, eşleştirilmiş saat için bir yardımcı uygulamaya sahiptir. AIuto SOS watch4help™ ise seçilen kanallara uygun bir bağlantıyla akıllı telefon olmadan kullanılabilen bağımsız çözümdür.
398|Eşleştirilmiş iPhone ile tek dokunuş
399|Yardımcı uygulama, iPhone kilitliyken bile Telegram ve konumu başlatabilir. SMS, WhatsApp ve aramayı da başlatmak için Premium, ayarlanmış Kestirme ve iPhone uygulamasının ön planda olması gerekir.
400|Proje sunumundan alınan uygulama ekran görüntüleri.
401|İlk kurulum
402|Önceden hazırlayın. Birlikte deneyin.
403|Doğru kurulum işleyişin bir parçasıdır. Her zaman uygulamanızın kılavuzunu izleyin.
404|Kimi uyaracağınızı seçin
405|Uygulamada koşulları kabul edin, telefon numaralarını ve Telegram chat ID’lerini girin. Bir talebin nasıl karşılanacağını kişilerinizle konuşun.
406|Gerekenleri etkinleştirin
407|Gönderim kanallarını, kişisel anahtar kelimeleri ve gerekli izinleri seçin. iOS’ta Premium işlevleri için “Proteggimi” Kestirmesini ayarlayın.
408|Cihazı kontrol edin
409|Pil, bağlantı, arka plan etkinliği ve aksesuar eşleştirmesini kontrol edin.
410|Kararlaştırılmış bir deneme yapın
411|Önce kişilerinize haber verin, denemeyi yapın ve mesajla konumun ulaştığını kontrol edin.
412|Bağlantı ve gizlilik: bilmeniz gerekenler →
413|no pAIn™ — Teknoloji ve araştırma
414|Politecnico di Bari’den Prof. Müh. Agostino Giorgio’nun no pAIn™ projesinin teknolojisi ve bilimsel yayınları.
415|Araştırmadan <span class="hl">yardım talebine.</span>
