ui.menu|Menü
144|Ressourcen
145|Handbücher und Datenschutz der Apps ↗
146|Projektpräsentation (PDF, auf Italienisch) ↗
148|Bei unmittelbarer Gefahr rufen Sie die 112 an. Die no pAIn™-Apps benachrichtigen die von Ihnen gewählten Notfallkontakte und ersetzen keine öffentlichen Notdienste.
149|Informieren. Einrichten. Testen.
150|Hauptnavigation
151|Beispiel einer Notfallnachricht, die ein Kontakt erhält, mit Karte und Live-Standort
152|Weg des Hilferufs
153|Plakat des Projekts no pAIn: digital4help, digitaler Schutz. Es nennt Proteggimi für Android auf Italienisch, AI help You für Android in 12 Sprachen, AIuto SOS watch4help für Wear-OS-Smartwatches und no pAIn für iOS.
154|no pAIn™ — Die Apps
155|Die Apps des Projekts no pAIn™: AI help You, Proteggimi, no pAIn™ für iPhone, AIuto SOS watch4help™ für Wear OS, AI help App.
156|Wählen Sie Ihre App
157|Wählen Sie, wie Sie <span class="hl">sich Gehör verschaffen.</span>
158|no pAIn™ bringt ein elektronisches „signal for help“ auf das Smartphone, auslösbar per Stimme oder Berührung. watch4help™ ist dieselbe Technologie für Smartwatches. Sprachen, Verbindungen und Funktionen unterscheiden sich von App zu App.
163|AI help App · AIutoSOS Apple Watch
165|Werbematerial des Projekts · illustratives Konzept
167|12 Sprachen
170|Die Android-Version in 12 Sprachen, mit anpassbaren Schlüsselwörtern, Offline-Spracherkennung und Begleit-App für Wear-OS-Smartwatches. Sie bietet alle Auslöser der no pAIn™-Technologie, einschließlich des Knopfs button4help™.
171|Live-Standort über Telegram
172|Von 1 Minute bis 24 Stunden, einstellbar
173|Bei Google Play laden <span class="arr">↗</span>
174|Sprachbefehle: 4 feste und 3 persönliche Schlüsselwörter, auch bei ausgeschaltetem Bildschirm und mit dem Telefon einige Meter entfernt
175|Aktivierung mit Google Assistant
176|Notfallknopf auf dem Hauptbildschirm
177|Schnellknopf auf dem Startbildschirm, der die geschlossene App weckt
178|Stimme oder Knopf in der Begleit-App für Wear-OS-Smartwatches
179|Einige Sekunden Druck auf button4help™
180|Was gesendet wird
181|SMS mit GPS-Koordinaten, Adresse und Kartenlink
182|Automatischer Anruf an die Kontakte
183|WhatsApp unter Android nicht vorgesehen
184|AI help You benachrichtigt die eingerichteten Kontakte. Die App kontaktiert keine öffentlichen Notdienste und ersetzt sie nicht. Ohne Abo funktioniert sie im Schnellnotfall-Modus: <a class="link-arrow" href="versioni.html">siehe Free und Premium</a>.
185|Italienisch
186|Proteggimi <span class="hl">(no pAIn™)</span>
187|Die Android-Version auf Italienisch, auslösbar per Stimme oder manuell. Sie hört Ihre Schlüsselwörter auch bei geschlossener App und ausgeschaltetem Bildschirm und hat eine Begleit-App für Wear-OS-Smartwatches.
188|Bis zu 30 Minuten
189|Sprachbefehle mit eigenen Schlüsselwörtern, Offline-Spracherkennung
190|SMS mit Standortangabe
191|Telegram mit Standort, auch live
194|no pAIn™ <span class="hl">(Proteggimi)</span>
195|Die iPhone-Version mit denselben Kernfunktionen wie AI help You: 12 Sprachen, Begleit-App für Apple Watch und Kompatibilität mit button4help™. Zusätzlich sendet sie den Alarm auch über WhatsApp.
196|Free: 30 Minuten · Premium: von 1 Minute bis 24 Stunden
197|Im App Store laden <span class="arr">↗</span>
198|Die Begleit-App auf der Apple Watch: eine Berührung auf EMERGENZA
199|SOS-Knopf auf dem Hauptbildschirm
200|Sprachbefehl „Hey Siri, Hilf mir“ (Premium)
201|Berührung auf dem Zifferblatt der Apple Watch, auch bei gesperrtem iPhone
202|Telegram mit Standort und Kartenlink
203|SMS mit Standortangabe (Premium)
204|WhatsApp mit Standortangabe (Premium)
205|Automatischer Anruf an die Kontakte (Premium)
206|Der Download ist kostenlos und umfasst SOS-Knopf, Telegram mit Standort, 30 Minuten Live-Standort und die Apple-Watch-App. Premium ergänzt Siri, SMS, WhatsApp, Anruf und Live-Standort von 1 Minute bis 24 Stunden – mit einem einmaligen Kauf, ohne Abo.
207|SMS, WhatsApp und Anruf laufen über den Apple-Kurzbefehl „Proteggimi“, der aus der App installiert wird. Von der Apple Watch starten Telegram und Standort auch bei gesperrtem iPhone; für die übrigen Aktionen muss die iPhone-App im Vordergrund sein.
209|Ohne Smartphone
211|Eine App nur für Wear-OS-Smartwatches, die kein Smartphone braucht. Es ist die no pAIn™-Technologie zum Tragen, watch4help™ genannt: Der Alarm startet direkt am Handgelenk.
212|Bis zu 60 Minuten
213|Sprachbefehl auf der Uhr
214|Notfallknopf auf dem Zifferblatt
215|Schnellzugriff über Zifferblatt und Komplikationen
216|Gut zu wissen
217|Funktioniert eigenständig, auch wenn das Smartphone weit weg oder ausgeschaltet ist
218|Die verfügbaren Kanäle hängen von der Verbindung der Uhr ab: LTE mit SIM oder WLAN/Bluetooth
219|Nicht zu verwechseln mit den Begleit-Apps von Proteggimi und AI help You, die mit dem gekoppelten Telefon zusammenarbeiten.
220|In Bildern und Videos
221|So sieht es aus und so funktioniert es am Handgelenk.
222|Eine Berührung des großen roten Knopfs oder ein Sprachbefehl: Die Uhr sendet Standort und Alarm per Telegram, SMS und Anruf an Ihre Kontakte, auch wenn das Smartphone weit weg ist.
223|Tippen Sie auf ein Bild, um es zu vergrößern. Wischen Sie seitlich, um die weiteren zu sehen.
224|Plakat
225|<strong>SOS von Ihrer Smartwatch</strong>Stimme oder Berührung: sendet Standort und Alarm. Live-Standort, Telegram, SMS, Anruf.
226|Bildschirmfoto
227|<strong>Die App auf der Uhr</strong>Der Knopf INVIO (Senden) und das Zuhören auf Sprachbefehle, ein- und ausschaltbar.
228|Weitere Lösungen
229|Auch diese gehören zum Projekt.
231|Eine weitere mehrsprachige Lösung für Android: 12 Sprachen, davon 3 mit Spracherkennung auch offline. Sie wird per Sprachbefehl oder manuellem Hilferuf ausgelöst.
232|Google Play öffnen <span class="arr">↗</span>
234|Geplant
235|AIutoSOS für Apple Watch
236|Eine eigene App für die Apple Watch, die bald erscheint. Sie unterscheidet sich von der Begleit-App, die bereits in no pAIn™ für iPhone enthalten ist.
237|Um die Apple Watch schon heute zu nutzen, installieren Sie <a class="link-arrow" href="#no-pain-ios">no pAIn™ für iPhone</a>.
238|Der Knopf für die Tasche, der den Alarm von AI help You und no pAIn™ für iPhone auslöst. Was er ist, was er nicht ist und wo man ihn kauft.
239|button4help™ entdecken →
240|Einrichtung
241|Folgen Sie dem Handbuch Ihrer App.
242|Die Dauer des Live-Standorts ist je nach App verschieden: Prüfen Sie die Optionen der installierten App.
243|Handbuch Android <span class="arr">↗</span>
244|Handbuch iOS <span class="arr">↗</span>
245|Telegram-Anleitung <span class="arr">↗</span>
246|Apps
247|Plakat: Proteggimi (no pAIn), die andere, intelligente App. Sofortige Hilfe, auch ohne das Smartphone zu berühren. Liste der Versionen für Android, Wear OS und iOS.
248|Apple Watch mit dem großen roten Knopf EMERGENZA und der Bestätigung Inviato (gesendet)
249|Plakat von AIuto SOS watch4help: Eine Frau wird nachts im Regen von einem Mann mit Kapuze verfolgt und drückt den HELP-Knopf auf ihrer Smartwatch
250|Wear-OS-Smartwatch mit der App AIuto SOS: roter Knopf INVIO (Senden) und Knopf FERMA ASCOLTO (Zuhören beenden)
251|button4help™ — no pAIn™
252|button4help™, der Bluetooth-Knopf, der den Alarm der no pAIn™-Apps aus der Ferne auslöst. Was er ist, was er nicht ist, wo man ihn kauft.
253|Der physische Knopf von no pAIn™
255|Klein zum Mitnehmen, einfach auszulösen. Der „Zauberknopf“ des Projekts: Sie tragen ihn in der Tasche, in der Handtasche oder am Schlüsselbund, und wenn Sie ihn ein paar Sekunden gedrückt halten, startet die App auf Ihrem Smartphone den Notfall – auch aus mehreren Metern Entfernung.
256|Bei AliExpress kaufen <span class="arr">↗</span>
257|So wird er benutzt
258|Der Knopf wird nicht von no pAIn™ verkauft: Sie kaufen ihn bei einem externen Händler und koppeln ihn mit der App.
259|Echtes Foto von button4help™ neben einer 50-Cent-Münze
260|So sieht er aus und so wird er benutzt.
261|Tragen Sie ihn am Schlüsselbund oder in der Tasche. Im Ernstfall drücken Sie ihn: Die App auf dem Telefon startet automatisch die Hilferufe und den Live-Standort an Ihre Kontakte.
262|<strong>Ein Druck, der Alarm geht los</strong>Mit AI help You: Hilferufe und Live-Standort bis zu 24 Stunden. Plakat auf Englisch.
263|Echtes Foto
264|<strong>Die echte Größe</strong>Nur wenig größer als eine 50-Cent-Münze.
265|Was er ist
266|Eine Fernbedienung für Ihr Telefon.
267|button4help™ ist ein Knopf, der innerhalb der Bluetooth-Reichweite Abläufe auf dem Smartphone startet. Er ist so klein, weil er nur ein Bluetooth-Low-Energy-Modul und eine Knopfzelle enthält: kein GPS, kein WLAN. Den Standort ermittelt die App auf dem Telefon.
268|Physisches Auslösen, ohne das Telefon in die Hand zu nehmen
269|Verbindung zum Smartphone über Bluetooth
270|Senden gemäß den in der App eingestellten Aktionen: Nachrichten, Standort, Anrufe
271|Auslösen
272|Etwa 2 Sekunden drücken
273|Verbindung
274|Nur Bluetooth BLE
275|Reichweite
276|Mehrere Meter, Bluetooth-Reichweite
277|Stromversorgung
278|Knopfzelle
279|Größe
280|Kaum größer als eine Münze
281|Funktioniert mit
282|AI help You (Android) und no pAIn™ (iPhone)
283|Was er nicht ist
284|Kein Ortungsgerät. Kein Seniorennotrufknopf.
285|Im Handel gibt es GPS- oder Bluetooth-Tracker, die sich mit Apples AirTag-Netzwerk oder dem Android-Netzwerk verbinden und zum Wiederfinden von Gegenständen und Haustieren dienen. button4help™ ist etwas völlig anderes.
286|Gerät
287|Wofür es dient
288|GPS- oder BLE-Tracker
289|Gegenstände und Haustiere wiederfinden
290|Wird über Apples AirTag-Netzwerk oder das Android-Netzwerk geortet
291|SOS-Knopf für Senioren
292|Eine Notrufzentrale anrufen
293|Eigenes Gerät, oft mit eigener SIM oder Basisstation
294|Den Alarm der no pAIn™-App auslösen
295|Fernbedienung für das Smartphone: Der Notfall startet mit Nachrichten, Standort und Anrufen an Ihre Kontakte
296|Drei Schritte, dann ist er immer dabei.
297|Kaufen
298|Kaufen Sie den Knopf beim unten angegebenen Händler. Preis, Versand und Verfügbarkeit hängen vom Verkäufer ab.
299|Mit der App koppeln
300|Folgen Sie in AI help You oder in no pAIn™ für iPhone der Kopplungsanleitung im Handbuch. Machen Sie danach einen mit Ihren Kontakten vereinbarten Test.
301|Gedrückt halten
302|Im Ernstfall drücken Sie den Knopf ein paar Sekunden: Die App startet die eingestellten Notfallaktionen.
303|Der Knopf steuert die App auf dem Smartphone: Das Telefon muss eingeschaltet, in Bluetooth-Reichweite und die App eingerichtet sein. Wenn Sie ein Gerät brauchen, das ohne Telefon funktioniert, sehen Sie sich <a class="link-arrow" href="prodotti.html#aiuto-sos">AIuto SOS für Wear OS</a> an.
304|Wo man ihn kauft
305|button4help™ ist bei AliExpress von einem Drittanbieter erhältlich. no pAIn™ verkauft das Gerät nicht und kümmert sich nicht um Bestellungen, Versand oder Rücksendungen.
306|Unsicher, ob er mit Ihrem Telefon kompatibel ist? <a class="link-arrow" href="mailto:agostino.giorgio@poliba.it" data-mail="private">Schreiben Sie uns vor dem Kauf</a>.
307|Gibt es die Schmuckversion schon?
308|Die Fotos auf dieser Seite zeigen das aktuelle Gerät. Die Werbebilder mit Herzanhängern oder anderem Schmuck zeigen Designmöglichkeiten: Verfügbarkeit und Eigenschaften sind mit dem Entwickler abzuklären.
309|Weitere häufige Fragen →
310|Echtes Foto von button4help, einem runden schwarzen Knopf mit Schlüsselring-Öse, neben einer 50-Euro-Cent-Münze zum Größenvergleich
311|Plakat von button4help mit AI help You: Nachts im Regen hält eine von einem Mann verfolgte Frau den Knopf an ihrem Schlüsselbund; im kleinen Bild erhält eine Freundin eine SMS und den Standort über Telegram
312|Echtes Foto von button4help neben einer 50-Euro-Cent-Münze
313|no pAIn™ — Free & Premium
314|Was in den kostenlosen und Premium-Versionen der no pAIn™-Apps für Android und iPhone enthalten ist, mit vollständigem Funktionsvergleich.
315|Wählen Sie mit Wissen, <span class="hl">was enthalten ist.</span>
316|Die kostenlosen Notfallfunktionen unterscheiden sich zwischen Android und iPhone. Die Android-Schnellknöpfe und der SOS-Knopf unter iOS bleiben gemäß der vorgesehenen Konfiguration kostenlos nutzbar.
317|Schnellnotfall, auch kostenlos
318|Ohne Abo nutzt die App den Schnellnotfall-Modus: Ausgelöst wird über die Knöpfe auf dem Startbildschirm oder die dauerhafte Benachrichtigung. Der Knopf Avvia/Start ist inaktiv; Stimme und Einstellungsänderungen sind während eines aktiven Schnellnotfalls verfügbar.
319|Premium ermöglicht die im Vergleich beschriebene volle Nutzung. Bedingungen und Preis stehen auf der Google-Play-Seite der jeweiligen App.
321|SOS und Apple Watch inklusive
322|SOS-Knopf per Berührung
323|Telegram mit Standortangabe
324|Live-Standort für 30 Minuten
325|Begleit-App für Apple Watch
326|Kostenloser Download. Die enthaltenen Notfallfunktionen bleiben kostenlos.
327|Ein Kauf, mehr Funktionen
328|„Hey Siri, Hilf mir“ in 12 Sprachen
329|SMS, WhatsApp und Anruf an die Kontakte
330|Live-Standort von 1 Minute bis 24 Stunden
331|Einmaliger Kauf, ohne Abo. Der Preis steht im App Store.
332|Vollständiger Vergleich
333|Alle Funktionen, Android und iOS.
334|Vergleich aus der Projektpräsentation. Für Android ist es eine Zusammenfassung der App-Familie: Sehen Sie auf der <a class="link-arrow" href="prodotti.html">Seite der jeweiligen App</a> nach Sprachen, Zubehör und Standortdauer. Auf dem Telefon können Sie die Tabelle seitlich scrollen.
335|Funktionen nach Plattform und Version
336|Funktion
339|SOS auf dem Hauptbildschirm
340|Nein¹
341|Ja
342|Schnellknöpfe Startbildschirm / Benachrichtigung, auch bei geschlossener App
343|Nein
344|Stimme: 4 feste + 3 persönliche Schlüsselwörter
345|Ja²
346|Aktivierung mit Google / Siri
347|Offline-Spracherkennung in den unterstützten Sprachen
348|Telegram mit GPS, Adresse und Kartenlink
349|WhatsApp-Nachricht
350|Anruf an den eingerichteten Kontakt
351|Je nach App³
352|30 Minuten
353|1 Min. – 24 Std.
354|Begleit-App Wear OS / Apple Watch
355|Smartwatch ohne Smartphone
356|Eigene Wear-OS-App
357|Schnellzugriff über Zifferblatt und Komplikationen
358|Sprachbefehle auf der Smartwatch
359|Einstellungen bei laufender App ändern
360|Integrierte Schritt-für-Schritt-Anleitung und PDF
361|Kein Konto, kein Login, keine eigene Cloud
362|¹ Ohne Abo ist der Knopf Avvia/Start inaktiv; es werden die Schnellnotfall-Knöpfe genutzt.
363|² In Android Free nur während eines aktiven Schnellnotfalls.
364|³ Die Präsentation nennt bis zu 24 Stunden in den freigeschalteten Versionen: AI help You von 1 Minute bis 24 Stunden, Proteggimi Android bis zu 30 Minuten, AIuto SOS watch4help™ bis zu 60 Minuten. Die 12 Sprachen betreffen die mehrsprachigen Apps; Proteggimi Android ist auf Italienisch.
365|Fragen zu Kosten und Funktionen
366|no pAIn™ — So funktioniert’s
367|Wie die no pAIn™-Apps ausgelöst werden, welche Aktionen starten, wie watch4help™ funktioniert und wie man die Ersteinrichtung vorbereitet.
368|Wählen Sie, wie Sie auslösen. <span class="hl">Entscheiden Sie, wen Sie benachrichtigen.</span>
369|Das Projekt bietet mehrere Auslösemethoden. Die verfügbaren Funktionen hängen von App, Gerät und Einrichtung ab.
370|Wählen Sie die App für Ihr Gerät, richten Sie die zwei Notfallkontakte ein und aktivieren Sie die gewünschten Aktionen. Wenn Sie den Knopf nutzen, schließen Sie die Kopplung ab.
371|Die Auslösemethoden
372|Eine andere Bedienung, je nach Gerät.
373|Stimme
374|Ohne das Telefon zu berühren
375|Unter Android: 4 feste und 3 persönliche Schlüsselwörter, auf dem Gerät erkannt, auch im Hintergrund oder bei ausgeschaltetem Bildschirm, mit dem Telefon einige Meter entfernt. Unter iOS Premium: „Hey Siri, Hilf mir“.
376|Berührung
377|SOS-Knopf, Startbildschirm, Benachrichtigung
378|Nutzen Sie den SOS-Knopf Ihrer Version. Unter Android funktionieren die Schnellknöpfe auf dem Startbildschirm und die dauerhafte Benachrichtigung auch bei geschlossener App.
379|Vom Handgelenk
380|Nutzen Sie Stimme oder Knopf der kompatiblen App. Unterscheiden Sie die Begleit-App des Telefons von der eigenständigen Wear-OS-App.
381|Aus der Tasche
382|Halten Sie den mit dem Telefon verbundenen Knopf ein paar Sekunden gedrückt: Die App führt die eingestellten Aktionen aus. <a class="link-arrow" href="button4help.html">Entdecken →</a>
383|Nach dem Auslösen
384|Die Aktionen, die Sie gewählt haben.
386|GPS-Koordinaten, Adresse und Kartenlink in den Nachrichten an die Kontakte. Unter iOS sind Premium und der Apple-Kurzbefehl nötig.
387|alle Apps
388|Standortversand und Live-Aktualisierung: 30 Minuten unter iOS Free, in den freigeschalteten Versionen einstellbar bis zu 24 Stunden.
389|Anrufe
390|Anrufe an die eingestellten Nummern. Unter iOS Premium werden sie über den Apple-Kurzbefehl „Proteggimi“ gestartet.
392|Unter iOS Premium über den Apple-Kurzbefehl verfügbar. In den Android-Versionen nicht vorgesehen.
393|<b>Wichtig</b> Die Apps benachrichtigen die eingerichteten Kontakte. Sie kontaktieren keine öffentlichen Notdienste und ersetzen sie nicht: Nach dem Alarm können Ihre Kontakte mit allen Informationen die Polizei rufen und Ihnen zu Hilfe kommen.
394|watch4help™ · SOS am Handgelenk
395|Mit dem Telefon verbunden oder eigenständig.
396|Zwei Modi, die man unterscheiden sollte
397|Proteggimi und AI help You haben eine Begleit-App für die gekoppelte Uhr. AIuto SOS watch4help™ ist dagegen die eigenständige Lösung, ohne Smartphone nutzbar, mit einer für die gewählten Kanäle geeigneten Verbindung.
398|Eine Berührung, mit gekoppeltem iPhone
399|Die Begleit-App kann Telegram und Standort auch bei gesperrtem iPhone starten. Um auch SMS, WhatsApp und Anruf zu starten, sind Premium, der eingerichtete Kurzbefehl und die iPhone-App im Vordergrund nötig.
400|App-Bildschirmfotos aus der Projektpräsentation.
401|Die Ersteinrichtung
402|Vorher vorbereiten. Gemeinsam testen.
403|Eine korrekte Einrichtung gehört zur Funktion. Folgen Sie immer dem Handbuch Ihrer App.
404|Wählen, wen Sie benachrichtigen
405|Akzeptieren Sie die Bedingungen in der App, geben Sie die Telefonnummern und Telegram-Chat-IDs ein. Vereinbaren Sie mit den Kontakten, wie ein Hilferuf behandelt wird.
406|Aktivieren, was nötig ist
407|Wählen Sie Sendekanäle, persönliche Schlüsselwörter und nötige Berechtigungen. Unter iOS richten Sie den Kurzbefehl „Proteggimi“ für die Premium-Funktionen ein.
408|Gerät prüfen
